,BLOCK_SIZE,num_warps,num_ctas,num_stages,maxnreg,runtime,compile_time,tokens,d,GPU
34,2048,32,1,5,None,0.0053839064203202724,0.001392364501953125,1024,512,V100
35,4096,1,1,2,None,0.010273157618939877,0.6429159641265869,1024,512,V100
36,256,8,1,1,None,0.005342008545994759,0.14394521713256836,1024,512,V100
37,2048,4,1,4,None,0.00441837590187788,0.17815041542053223,1024,512,V100
38,512,8,1,3,None,0.0038812158163636923,0.1410980224609375,1024,512,V100
39,1024,1,1,5,None,0.0038963539991527796,0.2575993537902832,1024,512,V100
40,512,16,1,0,None,0.004430187400430441,0.13994646072387695,1024,512,V100
41,2048,16,1,4,None,0.004163964651525021,0.1528480052947998,1024,512,V100
42,64,4,1,5,None,0.014807040803134441,0.14495515823364258,1024,512,V100
43,128,4,1,2,None,0.008429828099906445,0.13959360122680664,1024,512,V100
44,32,8,1,5,None,0.027668289840221405,0.1375272274017334,1024,512,V100
45,2048,32,1,4,None,0.005381065886467695,0.14358854293823242,1024,512,V100
46,16,32,1,1,None,0.16138459742069244,0.13926124572753906,1024,512,V100
47,512,8,1,2,None,0.003881712444126606,0.0014240741729736328,1024,512,V100
48,32,2,1,5,None,0.02753617614507675,0.13964271545410156,1024,512,V100
49,8192,8,1,2,None,0.010646619834005833,0.24317240715026855,1024,512,V100
50,128,2,1,3,None,0.008404979482293129,0.13581323623657227,1024,512,V100
51,32,16,1,4,None,0.03722478821873665,0.13028287887573242,1024,512,V100
52,256,2,1,4,None,0.005302350502461195,0.0013883113861083984,1024,512,V100
53,4096,16,1,3,None,0.006172485183924437,0.0014257431030273438,1024,512,V100
0,2048,8,1,1,None,0.0024430337361991405,0.17168688774108887,512,128,V100
1,256,2,1,0,None,0.0024142235051840544,0.1479480266571045,512,128,V100
2,128,1,1,4,None,0.002786854049190879,0.1527080535888672,512,128,V100
3,32,16,1,5,None,0.00641457736492157,0.1430351734161377,512,128,V100
4,16,2,1,3,None,0.008350802585482597,0.14763975143432617,512,128,V100
5,256,1,1,5,None,0.0024514920078217983,0.16807985305786133,512,128,V100
6,64,32,1,2,None,0.006990084890276194,0.14882636070251465,512,128,V100
7,4096,16,1,2,None,0.003083252813667059,0.16354703903198242,512,128,V100
8,512,4,1,5,None,0.0022312451619654894,0.15317416191101074,512,128,V100
9,1024,4,1,4,None,0.002358400961384177,0.15868806838989258,512,128,V100
10,2048,4,1,1,None,0.0029733076225966215,0.0013856887817382812,512,128,V100
11,64,4,1,4,None,0.0035595176741480827,0.13185429573059082,512,128,V100
12,1024,1,1,1,None,0.002834140323102474,0.24042773246765137,512,128,V100
13,16,1,1,1,None,0.008307702839374542,0.1400299072265625,512,128,V100
14,32,16,1,2,None,0.0063757458701729774,0.13424015045166016,512,128,V100
15,128,32,1,4,None,0.0045339446514844894,0.14348697662353516,512,128,V100
16,4096,2,1,2,None,0.0057093799114227295,0.3457326889038086,512,128,V100
17,256,16,1,0,None,0.0024902652949094772,0.1483454704284668,512,128,V100
18,64,32,1,3,None,0.006989292800426483,0.17818164825439453,512,128,V100
19,16,8,1,0,None,0.008457176387310028,0.001516580581665039,512,128,V100
20,64,16,1,2,None,0.004171791020780802,0.12752556800842285,512,128,V100
