,BLOCK_SIZE,num_warps,num_ctas,num_stages,num_buffers_warp_spec,num_consumer_groups,reg_dec_producer,reg_inc_consumer,maxnreg,runtime,compile_time,tokens,d,GPU
7,2048,4,1,1,0.0,0.0,0.0,0.0,None,0.9487106800079346,0.16617941856384277,64,262144,V100
8,1024,2,1,5,0.0,0.0,0.0,0.0,None,0.47684621810913086,0.1652534008026123,64,262144,V100
9,8192,16,1,5,0.0,0.0,0.0,0.0,None,3.879854202270508,0.16944003105163574,64,262144,V100
10,2048,1,1,1,0.0,0.0,0.0,0.0,None,1.096774697303772,0.32982420921325684,64,262144,V100
11,16,8,1,1,0.0,0.0,0.0,0.0,None,1.639233112335205,0.1116945743560791,64,262144,V100
12,32,8,1,0,0.0,0.0,0.0,0.0,None,0.8207359910011292,0.10944128036499023,64,262144,V100
13,1024,16,1,4,0.0,0.0,0.0,0.0,None,0.7700896263122559,0.11267757415771484,64,262144,V100
14,64,32,1,1,0.0,0.0,0.0,0.0,None,1.467810869216919,0.10895824432373047,64,262144,V100
15,4096,16,1,3,0.0,0.0,0.0,0.0,None,1.8976527452468872,0.1383676528930664,64,262144,V100
16,256,2,1,4,0.0,0.0,0.0,0.0,None,0.41129598021507263,0.1157066822052002,64,262144,V100
18,256,4,1,4,0.0,0.0,0.0,0.0,None,0.4108903408050537,0.11253905296325684,64,262144,V100
19,512,32,1,5,0.0,0.0,0.0,0.0,None,1.4487460851669312,0.11273050308227539,64,262144,V100
20,16,32,1,2,0.0,0.0,0.0,0.0,None,5.691271781921387,0.11292719841003418,64,262144,V100
22,128,2,1,2,0.0,0.0,0.0,0.0,None,0.41109028458595276,0.11679887771606445,64,262144,V100
23,1024,1,1,2,0.0,0.0,0.0,0.0,None,0.4999365210533142,0.227308988571167,64,262144,V100
24,8192,1,1,2,0.0,0.0,0.0,0.0,None,67.95366668701172,1.7034876346588135,64,262144,V100
25,64,8,1,0,0.0,0.0,0.0,0.0,None,0.4115745425224304,0.11134696006774902,64,262144,V100
26,2048,1,1,2,0.0,0.0,0.0,0.0,None,1.0967156887054443,0.33219027519226074,64,262144,V100
0,8192,8,1,0,0.0,0.0,0.0,0.0,None,0.003987783566117287,0.21725749969482422,2048,16,V100
1,128,4,1,3,0.0,0.0,0.0,0.0,None,0.00235055573284626,0.11335229873657227,2048,16,V100
2,32,32,1,5,0.0,0.0,0.0,0.0,None,0.006785930600017309,0.10846471786499023,2048,16,V100
3,64,16,1,4,0.0,0.0,0.0,0.0,None,0.0031120528001338243,0.11353850364685059,2048,16,V100
