,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
51,512,1,0,4.362239837646484,5390,80032,V100
52,16,8,4,42.0945930480957,5390,80032,V100
53,4096,8,1,3.4780160188674927,5390,80032,V100
54,4096,8,0,3.4795520305633545,5390,80032,V100
55,32,8,0,21.134336471557617,5390,80032,V100
56,16,1,5,42.06847953796387,5390,80032,V100
57,2048,8,0,3.57478404045105,5390,80032,V100
58,256,16,1,5.598207950592041,5390,80032,V100
59,2048,4,4,3.6485118865966797,5390,80032,V100
60,16,4,1,19.88761615753174,4678,43500,V100
61,256,16,2,2.6163198947906494,4678,43500,V100
62,32,32,1,35.83590507507324,4678,43500,V100
63,32,2,0,9.977855682373047,4678,43500,V100
64,128,4,0,3.6710400581359863,4678,43500,V100
65,8192,4,1,1.5544320344924927,4678,43500,V100
66,1024,8,2,1.738752007484436,4678,43500,V100
67,64,2,1,5.750783920288086,4678,43500,V100
68,64,4,2,5.784064054489136,4678,43500,V100
69,2048,2,2,1.7131520509719849,4678,43500,V100
70,128,32,5,36.22297668457031,10892,69269,V100
71,128,1,1,12.420096397399902,10892,69269,V100
72,32,16,3,65.23085021972656,10892,69269,V100
73,16,1,3,73.56928253173828,10892,69269,V100
74,2048,8,4,6.008831977844238,10892,69269,V100
75,4096,1,4,5.8470399379730225,10892,69269,V100
76,2048,32,4,6.2320637702941895,10892,69269,V100
77,128,8,1,13.280256271362305,10892,69269,V100
78,256,32,4,19.4201602935791,10892,69269,V100
79,64,4,2,9.426431655883789,9297,33653,V100
80,128,32,1,15.105535984039307,9297,33653,V100
81,4096,8,2,2.817023992538452,9297,33653,V100
82,1024,2,3,3.0566399097442627,9297,33653,V100
83,64,32,4,28.95769691467285,9297,33653,V100
84,256,2,1,4.46668815612793,9297,33653,V100
85,32,32,3,55.52435302734375,9297,33653,V100
86,64,2,3,9.323520183563232,9297,33653,V100
87,256,16,4,4.098559856414795,9297,33653,V100
88,1024,1,0,3.0141440629959106,9297,33653,V100
89,64,8,0,12.505087852478027,5991,67872,V100
90,2048,2,3,3.5092480182647705,5991,67872,V100
91,128,32,0,19.512319564819336,5991,67872,V100
92,256,4,1,5.397503852844238,5991,67872,V100
93,512,4,3,4.262911796569824,5991,67872,V100
94,4096,32,0,3.383296012878418,5991,67872,V100
95,512,8,5,4.097024202346802,5991,67872,V100
96,2048,32,2,3.3822720050811768,5991,67872,V100
97,256,2,4,5.7236480712890625,5991,67872,V100
98,512,4,0,4.257791996002197,5991,67872,V100
99,2048,4,1,0.07577600330114365,15457,534,V100
100,512,16,4,0.07680000364780426,15457,534,V100
101,32,4,0,0.40857601165771484,15457,534,V100
102,16,1,1,0.8110079765319824,15457,534,V100
103,8192,16,5,0.07372800260782242,15457,534,V100
104,256,1,5,0.07475200295448303,15457,534,V100
105,4096,2,0,0.07884799689054489,15457,534,V100
106,4096,2,5,0.07884799689054489,15457,534,V100
107,64,2,3,0.20684799551963806,15457,534,V100
108,256,16,5,0.11059200018644333,15457,534,V100
109,8192,32,0,0.035840000957250595,3803,848,V100
110,128,1,4,0.04505600035190582,3803,848,V100
111,64,32,5,0.2887679934501648,3803,848,V100
112,4096,2,0,0.03686400130391121,3803,848,V100
113,32,16,3,0.26009601354599,3803,848,V100
