,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
329,2048,8,3,5.16044807434082,16154,30624,L40S
330,2048,1,2,5.323775768280029,16154,30624,L40S
331,4096,8,3,2.7740159034729004,16154,30624,L40S
332,16,8,3,2.7745280265808105,16154,30624,L40S
333,8192,8,3,2.8098559379577637,16154,30624,L40S
334,1024,8,3,2.7991199493408203,16154,30624,L40S
335,1024,2,5,3.1652159690856934,16154,30624,L40S
336,32,8,3,3.507200002670288,16154,30624,L40S
337,128,8,3,3.5491840839385986,16154,30624,L40S
338,32,2,5,3.5921919345855713,16154,30624,L40S
339,512,8,3,4.217919826507568,16154,30624,L40S
340,1024,8,1,3.507200002670288,16154,30624,L40S
341,128,2,1,3.4959359169006348,16154,30624,L40S
342,512,32,5,0.971776008605957,16331,5080,L40S
343,4096,8,2,0.8960000276565552,16331,5080,L40S
344,64,1,1,1.07315194606781,16331,5080,L40S
345,256,16,2,0.9103360176086426,16331,5080,L40S
346,128,32,2,2.7258880138397217,16331,5080,L40S
347,1024,4,5,0.9093120098114014,16331,5080,L40S
348,32,32,2,9.923583984375,16331,5080,L40S
349,4096,8,4,0.8929280042648315,16331,5080,L40S
350,2048,8,3,0.8847360014915466,16331,5080,L40S
351,2048,1,2,0.8673279881477356,16331,5080,L40S
352,2048,1,0,2.7253761291503906,16331,5080,L40S
353,8192,1,2,2.805759906768799,16331,5080,L40S
354,2048,1,3,2.8544158935546875,16331,5080,L40S
355,2048,1,5,2.7059199810028076,16331,5080,L40S
356,2048,2,3,3.1487998962402344,16331,5080,L40S
357,16,4,5,2.7156479358673096,16331,5080,L40S
358,128,8,4,2.7197439670562744,16331,5080,L40S
359,128,1,2,2.7105278968811035,16331,5080,L40S
360,128,32,5,2.742271900177002,16331,5080,L40S
361,1024,2,4,2.718719959259033,16331,5080,L40S
362,512,32,5,0.07168000191450119,10009,352,L40S
363,4096,8,2,0.04505600035190582,10009,352,L40S
364,64,1,1,0.05427199974656105,10009,352,L40S
365,256,16,2,0.058368001133203506,10009,352,L40S
366,128,32,2,0.14131200313568115,10009,352,L40S
367,1024,4,5,0.04915200173854828,10009,352,L40S
368,32,32,2,0.4423680007457733,10009,352,L40S
369,4096,8,4,0.04608000069856644,10009,352,L40S
370,2048,8,3,0.048128001391887665,10009,352,L40S
371,2048,1,2,0.04198399931192398,10009,352,L40S
372,16,1,2,2.726912021636963,10009,352,L40S
373,2048,1,0,2.6977438926696777,10009,352,L40S
374,2048,2,2,2.6941440105438232,10009,352,L40S
375,8192,8,5,2.701824188232422,10009,352,L40S
376,16,2,0,2.6992640495300293,10009,352,L40S
377,16,4,5,3.117568016052246,10009,352,L40S
378,1024,2,0,2.7054080963134766,10009,352,L40S
379,8192,1,0,2.708479881286621,10009,352,L40S
380,32,8,3,2.708479881286621,10009,352,L40S
381,16,8,4,2.890752077102661,10009,352,L40S
382,512,32,5,0.1443839967250824,8598,1188,L40S
383,4096,8,2,0.11980800330638885,8598,1188,L40S
384,64,1,1,0.14028799533843994,8598,1188,L40S
385,256,16,2,0.1382399946451187,8598,1188,L40S
386,128,32,2,0.3553760051727295,8598,1188,L40S
387,1024,4,5,0.12492799758911133,8598,1188,L40S
388,32,32,2,1.240064024925232,8598,1188,L40S
389,4096,8,4,0.11980800330638885,8598,1188,L40S
390,2048,8,3,0.1228799968957901,8598,1188,L40S
391,2048,1,2,0.11673600226640701,8598,1188,L40S
392,16,1,2,2.742271900177002,8598,1188,L40S
393,2048,2,2,2.722815990447998,8598,1188,L40S
394,2048,1,0,2.702336072921753,8598,1188,L40S
395,8192,8,4,2.697728157043457,8598,1188,L40S
396,2048,1,3,2.855423927307129,8598,1188,L40S
397,8192,4,5,2.716671943664551,8598,1188,L40S
398,1024,4,2,3.4611198902130127,8598,1188,L40S
399,512,8,0,2.708479881286621,8598,1188,L40S
400,32,4,0,2.6941440105438232,8598,1188,L40S
